#n HH MM design matrix row elements
  1  7  2   0.00108   0.00315   0.00034   1.00000   0.00000
  2  7 17   0.00164   0.00291  -0.00012   1.00000   0.00090
  3  7 24   0.00137   0.00303   0.00034   1.00000   0.00132
  4  7 31   0.00089   0.00313   0.00075   1.00000   0.00174
  5  7 40   0.00192   0.00273  -0.00012   1.00000   0.00228
  6  7 47   0.00167   0.00288   0.00034   1.00000   0.00270
  7  7 54  -0.00012   0.00330   0.00053   1.00000   0.00312
  8  8 15   0.00147   0.00290   0.00075   1.00000   0.00438
  9  8 22   0.00028   0.00329   0.00053   1.00000   0.00480
 10  8 30   0.00218   0.00251   0.00034   1.00000   0.00528
 11  8 55   0.00244   0.00226   0.00034   1.00000   0.00678
 12  9  2   0.00203   0.00254   0.00075   1.00000   0.00720
 13  9 31   0.00234   0.00227   0.00075   1.00000   0.00894
 14  9 47   0.00249   0.00210   0.00075   1.00000   0.00990
 15 10 12   0.00177   0.00279   0.00053   1.00000   0.01140
 16 10 25  -0.00024   0.00329  -0.00056   1.00000   0.01218
 17 10 34   0.00203   0.00260   0.00053   1.00000   0.01272
 18 10 42   0.00001   0.00329  -0.00056   1.00000   0.01320
 19 10 50   0.00220   0.00246   0.00053   1.00000   0.01368
 20 10 57   0.00022   0.00329  -0.00056   1.00000   0.01410
#Read a total of    20 points
#DOY HH MM RAhhmm decddmm  delay    dlymod    dlyres    GHA(hr)  ratemod
 099 07 02  1256  -0547   0.00530   0.00520   0.00010   -16.742  -0.026
 099 07 17  1229   0203   0.00672   0.00678  -0.00006   -16.042   0.262
 099 07 24  1256  -0547   0.00525   0.00526  -0.00001   -16.375   0.126
 099 07 31  1337  -1257   0.00409   0.00396   0.00013   -16.942  -0.119
 099 07 40  1229   0203   0.00727   0.00724   0.00003   -15.659   0.409
 099 07 47  1256  -0547   0.00539   0.00554  -0.00015   -15.992   0.278
 099 07 54  1512  -0905   0.00277   0.00273   0.00004   -18.142  -0.632
 099 08 15  1337  -1257   0.00381   0.00404  -0.00023   -16.209   0.179
 099 08 22  1512  -0905   0.00217   0.00184   0.00033   -17.675  -0.430
 099 08 30  1256  -0547   0.00650   0.00660  -0.00010   -15.275   0.541
 099 08 55  1256  -0547   0.00800   0.00751   0.00049   -14.859   0.678
 099 09 02  1337  -1257   0.00440   0.00496  -0.00056   -15.425   0.469
 099 09 31  1337  -1257   0.00564   0.00591  -0.00027   -14.942   0.629
 099 09 47  1337  -1257   0.00671   0.00655   0.00016   -14.675   0.709
 099 10 12  1512  -0905   0.00169   0.00156   0.00013   -15.842   0.330
 099 10 25  1751   0939  -0.00063  -0.00028  -0.00035   -18.275  -0.690
 099 10 34  1512  -0905   0.00213   0.00208   0.00005   -15.475   0.464
 099 10 42  1751   0939  -0.00096  -0.00092  -0.00004   -17.992  -0.567
 099 10 50  1512  -0905   0.00269   0.00257   0.00012   -15.209   0.556
 099 10 57  1751   0939  -0.00121  -0.00139   0.00018   -17.742  -0.459
#
# Model fit parameters:
# param1 =    -0.308756 delta Dx(m)                             
# param2 =    -6.902372 delta Dy(m)                             
# param3 =    -1.257485 delta Dz(m)                             
# param4 =     0.027665 clock offset(us)                       
# param5 =    -0.496543 clock rate(ps/s)                        
#
